name,bg_color,img_link
Ordered Map,0xFFFFE5C8,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Ftree.svg?alt=media&token=44288f64-82e3-4630-8fa7-b3c76736ca1a
Queue,0xFFE5F2FF,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fqueue.svg?alt=media&token=89e40194-2cac-4c0e-9cd7-05fd5a6514e8
Geometry,0xFFDCFFF8,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fgeometry.svg?alt=media&token=4b380796-dfee-407f-8710-f8941f0c8ffc
Minimax,0xFFF6D2FF,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fbacktracking.svg?alt=media&token=587cba29-b0de-4a7a-be64-1dbb5467e76c
Binary Indexed Tree,0xFFFFE5C8,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Ftree.svg?alt=media&token=44288f64-82e3-4630-8fa7-b3c76736ca1a
Brainteaser,0xFFD1DEE9,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2FbrainTeaser.svg?alt=media&token=a7ed134d-40d3-4eab-8346-a9c8952fa203
Line Sweep,0xFFF2C3D2,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2FlineSweep.svg?alt=media&token=50a60c45-2ec0-41c2-9113-fa61a8c5239c
Random,0xFFE8E8E8,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Frandom.svg?alt=media&token=49def88d-6750-4bb5-b255-2082ba0c6754
Topological Sort,0xFFFFEEEE,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fgraph.svg?alt=media&token=e03dcc06-ae49-4293-b701-09c53c5fd463
Binary Search Tree,0xFFF9EEB4,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2FbinarySearchTree.svg?alt=media&token=7ccc2813-8361-40d4-9eb1-e41820141932
Dequeue,0xFFD7FFC4,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fdequeue.svg?alt=media&token=3b3c5696-77c7-490e-985a-f608805207dd
Rolling Hash,0xFFCDF17B,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fstrings.svg?alt=media&token=78afc378-4cbd-4808-a5ae-2409de40304f
Suffix Array,0xFFDCDBFF,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Farray.svg?alt=media&token=298ba07a-26c9-4f61-add4-1800e50ef7ae
Rejection Sampling,0xFFFFD9B5,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fstats.svg?alt=media&token=c78c57b2-20dc-4ac6-af08-102790943ea8
Reservoir Sampling,0xFFFFD9B5,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fstats.svg?alt=media&token=c78c57b2-20dc-4ac6-af08-102790943ea8
Memoization,0xFFD4E8FC,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Fstats.svg?alt=media&token=c78c57b2-20dc-4ac6-af08-102790943ea8
OOP,0xFFFFCFFC,https://firebasestorage.googleapis.com/v0/b/doraemon-3dc2a.appspot.com/o/Topics_Images%2Foops.svg?alt=media&token=4ab8262b-3535-4991-96b1-a53b070cc1d6
